0.190 0.435 0.296 0.483 0.501 0.052 0.011 0.670 0.207 0.187 0.797 0.376 0.669 0.381 0.511 0.120 0.508 0.694 0.419 0.593 0.537 0.051 0.607 0.473 0.241 0.025 0.692 0.378 0.575 0.703 0.571 0.737 0.316 0.641 0.356 0.748 0.703 0.078 0.109 0.174 0.772 0.349 0.501 0.241 0.406 0.309 0.281 0.468 0.467 0.723 0.546 0.743 0.685 0.793 0.537 0.130 0.689 0.772 0.724 0.455 0.571 0.169 0.665 0.459 0.228 0.051 0.683 0.792 0.071 0.640
0.328 0.121 0.235 0.615 0.698 0.035 0.492 0.036 0.575 0.265 0.705 0.785 0.404 0.799 0.248 0.062 0.480 0.025 0.158 0.326 0.488 0.125 0.034 0.694 0.251 0.767 0.717 0.302 0.368 0.416 0.515 0.477 0.447 0.496 0.752 0.406 0.345 0.576 0.190 0.241 0.782 0.417 0.439 0.009 0.332 0.464 0.016 0.493 0.506 0.048 0.502 0.373 0.543 0.282 0.566 0.590 0.018 0.048 0.541 0.771 0.201 0.365 0.474 0.256 0.291 0.250 0.295 0.476 0.240 0.302
0.618 0.022 0.455 0.588 0.248 0.178 0.643 0.191 0.150 0.348 0.558 0.081 0.258 0.267 0.667 0.351 0.684 0.135 0.269 0.520 0.708 0.361 0.180 0.097 0.424 0.153 0.645 0.671 0.147 0.223 0.646 0.514 0.645 0.276 0.104 0.234 0.635 0.217 0.277 0.334 0.336 0.328 0.736 0.125 0.004 0.755 0.704 0.790 0.347 0.760 0.742 0.178 0.596 0.669 0.530 0.415 0.231 0.273 0.182 0.054 0.471 0.230 0.648 0.036 0.723 0.555 0.739 0.717 0.720 0.462
0.011 0.596 0.137 0.240 0.530 0.420 0.331 0.751 0.490 0.273 0.202 0.689 0.382 0.626 0.281 0.158 0.428 0.653 0.137 0.633 0.737 0.645 0.659 0.006 0.503 0.690 0.040 0.217 0.215 0.422 0.338 0.378 0.621 0.001 0.044 0.101 0.100 0.055 0.780 0.684 0.069 0.402 0.253 0.252 0.281 0.518 0.469 0.289 0.153 0.263 0.099 0.444 0.573 0.304 0.064 0.143 0.299 0.484 0.626 0.304 0.641 0.498 0.345 0.298 0.397 0.562 0.336 0.555 0.369 0.196
0.429 0.556 0.057 0.340 0.341 0.704 0.749 0.299 0.718 0.633 0.210 0.371 0.099 0.651 0.530 0.710 0.634 0.534 0.587 0.451 0.083 0.470 0.004 0.115 0.619 0.035 0.073 0.079 0.704 0.143 0.019 0.673 0.097 0.675 0.539 0.669 0.762 0.463 0.639 0.029 0.614 0.409 0.572 0.085 0.599 0.748 0.049 0.259 0.451 0.662 0.194 0.144 0.200 0.493 0.603 0.315 0.294 0.317 0.280 0.335 0.067 0.400 0.778 0.330 0.598 0.128 0.553 0.605 0.539 0.414
0.387 0.514 0.718 0.119 0.077 0.599 0.733 0.414 0.354 0.575 0.149 0.214 0.159 0.468 0.252 0.186 0.553 0.763 0.237 0.564 0.331 0.683 0.468 0.214 0.174 0.018 0.384 0.306 0.138 0.288 0.258 0.619 0.115 0.793 0.384 0.479 0.374 0.668 0.657 0.446 0.385 0.577 0.685 0.320 0.587 0.768 0.374 0.184 0.188 0.574 0.540 0.767 0.683 0.194 0.152 0.207 0.150 0.564 0.687 0.720 0.204 0.692 0.251 0.339 0.583 0.069 0.074 0.667 0.233 0.285
0.464 0.540 0.006 0.268 0.349 0.389 0.168 0.468 0.764 0.313 0.435 0.095 0.220 0.532 0.090 0.710 0.727 0.078 0.753 0.299 0.618 0.606 0.236 0.541 0.523 0.645 0.212 0.603 0.769 0.538 0.429 0.091 0.395 0.282 0.574 0.543 0.453 0.146 0.517 0.505 0.143 0.712 0.524 0.099 0.745 0.113 0.265 0.576 0.478 0.444 0.518 0.366 0.250 0.141 0.055 0.573 0.604 0.435 0.592 0.287 0.213 0.307 0.698 0.034 0.404 0.198 0.615 0.283 0.266 0.323
0.433 0.617 0.282 0.678 0.090 0.216 0.080 0.090 0.623 0.582 0.148 0.151 0.333 0.595 0.653 0.599 0.474 0.117 0.319 0.155 0.422 0.455 0.162 0.200 0.625 0.024 0.643 0.713 0.759 0.307 0.442 0.466 0.507 0.782 0.549 0.240 0.688 0.387 0.481 0.581 0.002 0.616 0.530 0.393 0.419 0.368 0.155 0.424 0.030 0.400 0.517 0.355 0.453 0.767 0.714 0.108 0.634 0.499 0.040 0.288 0.187 0.062 0.431 0.744 0.258 0.696 0.556 0.107 0.687 0.481
0.742 0.573 0.592 0.275 0.645 0.745 0.689 0.350 0.605 0.388 0.087 0.034 0.062 0.160 0.129 0.398 0.559 0.430 0.338 0.519 0.244 0.372 0.606 0.321 0.144 0.720 0.576 0.294 0.297 0.423 0.477 0.179 0.002 0.167 0.627 0.115 0.368 0.156 0.167 0.137 0.323 0.135 0.022 0.088 0.135 0.392 0.048 0.018 0.358 0.326 0.563 0.041 0.323 0.317 0.021 0.772 0.175 0.075 0.380 0.132 0.498 0.277 0.099 0.042 0.582 0.220 0.630 0.372 0.746 0.240
0.200 0.213 0.652 0.503 0.276 0.075 0.546 0.775 0.474 0.003 0.024 0.072 0.136 0.029 0.043 0.523 0.720 0.161 0.779 0.382 0.643 0.734 0.752 0.027 0.244 0.486 0.757 0.070 0.235 0.680 0.092 0.312 0.267 0.544 0.743 0.140 0.592 0.587 0.669 0.443 0.739 0.290 0.332 0.184 0.624 0.384 0.216 0.136 0.577 0.485 0.569 0.309 0.390 0.123 0.569 0.018 0.374 0.607 0.542 0.078 0.190 0.675 0.514 0.703 0.698 0.360 0.718 0.586 0.267 0.296
