0.260 0.113 0.436 0.170 0.073 0.442 1.010 0.880 0.842 0.244 0.590 0.304 0.190 0.117 0.236 1.020 0.912 0.887 0.880 0.213 0.341 0.690 0.805 0.940 0.968 0.095 0.666 0.739 0.557 0.196 0.521 0.098 1.028 0.952 0.602 0.330 1.000 0.630 0.971 0.933 0.559 0.455 0.659 0.474 0.177 0.336 0.894 0.048
0.051 0.689 0.308 0.588 0.518 0.377 1.097 0.215 0.454 0.223 0.696 0.304 0.391 0.822 0.353 0.614 0.995 0.111 0.068 0.252 0.842 0.677 0.261 0.364 0.195 0.505 0.047 0.767 0.986 1.050 0.808 1.056 0.020 0.318 1.063 0.853 0.451 1.038 0.683 0.900 0.323 0.211 0.489 0.150 0.420 1.058 0.364 0.010
0.049 0.187 0.862 0.399 0.319 0.107 1.080 0.466 0.229 0.065 0.061 0.186 0.745 0.165 0.045 0.540 0.274 1.097 0.135 0.582 0.851 0.450 1.086 0.526 0.266 0.452 0.041 0.463 0.273 0.978 0.914 0.548 0.035 0.280 0.267 0.229 0.255 0.957 0.156 0.056 1.021 0.622 1.090 0.443 0.991 0.719 0.870 0.819
0.544 0.102 0.232 0.961 0.990 1.017 0.370 0.723 0.879 0.707 0.896 0.581 0.720 0.755 0.295 1.015 1.052 0.082 1.068 1.058 0.735 0.049 0.989 0.140 1.065 0.734 0.067 0.184 0.699 0.626 0.821 1.020 0.240 0.004 1.015 0.014 0.964 0.127 0.891 0.861 0.966 0.606 0.967 0.222 0.739 0.364 0.981 0.851
0.519 0.579 0.029 0.038 0.654 0.538 0.951 0.669 0.153 0.399 0.844 0.575 0.012 0.921 0.910 0.094 0.598 0.419 0.866 0.342 0.257 0.535 1.063 0.105 0.126 0.683 0.974 0.564 0.477 0.944 0.854 0.074 0.969 0.215 0.333 0.920 0.465 0.878 0.184 0.962 0.194 0.164 0.544 0.372 0.596 0.994 0.782 0.006
0.343 0.599 0.535 0.787 0.533 0.083 0.270 0.932 0.392 0.843 1.084 0.689 0.744 0.670 0.345 1.004 0.514 1.003 0.336 0.954 0.866 0.674 0.486 0.155 0.848 0.398 0.728 0.147 0.091 0.158 0.890 0.195 0.992 0.409 0.634 0.385 0.683 0.103 0.443 1.030 0.198 0.720 0.359 0.331 0.025 0.022 1.044 0.913
0.881 0.888 1.049 0.174 0.643 0.545 0.631 1.032 0.836 1.065 0.129 0.717 0.743 0.820 0.680 0.914 0.333 1.021 0.447 0.659 0.987 0.774 0.341 0.253 0.359 0.689 1.096 0.989 0.440 0.441 0.899 0.312 0.453 0.015 0.202 0.594 0.763 0.676 0.401 1.046 0.686 0.172 0.074 1.071 1.087 1.012 0.664 0.343
0.100 0.284 0.244 1.021 0.982 0.856 0.164 0.262 0.329 1.043 0.180 0.869 0.749 0.602 1.055 0.289 0.577 0.173 0.106 0.035 0.348 0.134 0.067 1.092 0.318 0.979 0.772 0.804 0.721 1.048 0.966 0.791 0.616 0.763 0.796 0.608 0.553 0.170 0.929 0.533 0.075 0.185 0.962 0.282 0.430 0.750 0.948 0.361
0.425 0.465 0.031 0.964 0.021 1.056 0.168 0.172 0.933 0.906 0.255 0.609 0.524 0.790 0.204 0.908 1.096 0.777 1.013 1.031 0.417 0.932 0.917 0.646 0.118 0.681 1.003 0.336 0.712 0.987 0.660 0.041 0.695 0.281 0.944 0.728 0.338 0.985 0.688 0.373 0.918 0.981 0.983 0.972 0.724 0.769 0.665 0.580
1.086 0.388 0.090 0.785 0.548 0.600 0.658 0.275 0.221 0.078 0.860 0.999 0.766 0.128 1.076 0.909 0.560 0.001 0.928 0.686 0.684 0.020 0.806 0.038 0.526 0.159 0.396 0.979 0.823 0.898 0.328 0.427 0.665 0.037 0.454 1.072 0.829 0.949 0.329 0.760 0.868 0.775 0.481 0.192 0.020 0.976 1.025 0.304
